contributors_enabled,created_at,default_profile,default_profile_image,description,entities,favourites_count,followers_count,friends_count,geo_enabled,id_str,name,notifications,profile_background_color,profile_link_color,profile_location,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,protected,screen_name,statuses_count,url,verified,username,isaPerson,userLocation,jobArea
FALSE,10/02/2015 7:18,TRUE,FALSE,proses tercepat di indonesia hanya kurang dari 1 JAM ! || Wa :089602497569,,0,13,47,FALSE,"3,02E+09",info kredit tangsel,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,HCID_Ciputat,5,http://t.co/lpiTIo0qmY,FALSE,@HCID_Ciputat,nonperson,jabodetabek,sosial kemasyarakatan
FALSE,26/09/2012 06:08,FALSE,FALSE,akun asli orang pamulang | Komunitas dan Info Kawasan Pamulang Tangsel,,37,12612,7266,FALSE,"8,47E+08",Pamulang,FALSE,131516,9999,,EEEEEE,EFEFEF,333333,TRUE,FALSE,AreaPamulang,58803,,FALSE,@AreaPamulang,nonperson,jabodetabek,media
FALSE,05/06/2010 5:03,FALSE,FALSE,Bukan twitter resmi. Bila ada info/keluhan/pertanyaan silahkan mention. (Sejak: 5 Juni 2010),,16,2645,27,TRUE,"1,52E+08",Info Tangsel,FALSE,9AE4E8,0084B4,,BDDCAD,DDFFCC,333333,TRUE,FALSE,TANGSELku,2621,http://t.co/pu0HeA3L3v,FALSE,@TANGSELku,nonperson,jabodetabek,media
FALSE,13/05/2010 11:21,FALSE,FALSE,Berbagi info #Pamulang #Ciputat #Serpong #PondokAren #Setu Tangerang Selatan Banten Indonesia. DILARANG SPAM! Baca #PetunjukTweet.,,6,3605,67,TRUE,"1,43E+08",TangSel.INFO,FALSE,131516,9999,,EEEEEE,EFEFEF,333333,TRUE,FALSE,tangsel_info,32571,http://t.co/nK4pLsm7Mv,FALSE,@tangsel_info,nonperson,jabodetabek,media
FALSE,08/10/2011 14:38,FALSE,FALSE,[cerdas modern religius] Kirim Info Tentang tangerang selatan dgn mention diawali dgn: #infoTANGSEL / #lalinTANGSEL / #eventTANGSEL / #cuacaTANGSEL,,0,2264,671,FALSE,"3,87E+08",infotangsel,FALSE,131516,F50808,,2DA2F0,5C5654,0CABF5,TRUE,FALSE,info_tangsel,1605,,FALSE,@info_tangsel,nonperson,jabodetabek,media
FALSE,29/08/2019 16:04,TRUE,FALSE,Info: Event Promo Diskon Opening Progress Property Penjualan Resmi: Rumah Ruko Apartemen Di BSD City! Mega (Inhouse BSD) 0812 700 888 70,,0,11,0,FALSE,"1,17E+18",BSD City (Info/Rumah/Ruko),FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,bsdcityofficial,432,https://t.co/ut2aWagmbK,FALSE,@bsdcityofficial,nonperson,jabodetabek,media
FALSE,11/10/2012 9:52,TRUE,FALSE,Mari berbagi sesama penghuni The Icon BSD City Serpong Indonesia. Mau share info/iklan mention saja.,,10,733,85,FALSE,"8,73E+08",The Icon BSD,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,TheIconBSD,929,https://t.co/S4dt8Q70Jc,FALSE,@TheIconBSD,nonperson,jabodetabek,media
FALSE,28/12/2011 09:35,FALSE,FALSE,Info Gading Serpong|Kelapa Dua dan Sekitarnya|anything?mention us!,,1,216,53,FALSE,"4,49E+08",infogadingserpong,FALSE,C0DEED,0084B4,,FFFFFF,DDEEF6,333333,TRUE,FALSE,infogadingserpo,419,,FALSE,@infogadingserpo,nonperson,jabodetabek,media
FALSE,17/08/2012 09:55,TRUE,FALSE,Info Komunitas kuliner traffic lowker event property produk dll di BSD sekitarnya RT IKLAN GRATIS Only: 1X/week | kontak email: bsd.terkini@gmail.com,,31,2187,263,FALSE,"7,63E+08",BSD_terkini,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,BSD_terkini,3067,,FALSE,@BSD_terkini,nonperson,jabodetabek,media
FALSE,05/04/2012 15:02,FALSE,FALSE,Official Twitter https://t.co/sd29BiGSIP | Berbagi Kabar Tentang Tangerang Selatan | Tangsel #Tangsel | Email: Kabartangsel@gmail.com | https://t.co/lfTBnbtq3U,,4787,16805,2990,TRUE,"5,46E+08",Kabartangsel.com,FALSE,FFFFFF,0084B4,,FFFFFF,DDEEF6,333333,TRUE,FALSE,Kabar_Tangsel,59931,https://t.co/sd29BiGSIP,FALSE,@Kabar_Tangsel,nonperson,jabodetabek,media
FALSE,08/09/2019 7:56,TRUE,FALSE,HENTIKAN PROYEK FOOD ESTATE KALTENG! #ClimateJustice4Kalimantan â€¢ on insta: @youth_actkalimantan,,88,76,68,FALSE,"1,17E+18",YOUTH ACT KALIMANTAN,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,act2give,390,https://t.co/L8tVjsdnlS,FALSE,@act2give,nonperson,kalimantan,sosial kemasyarakatan
FALSE,22/08/2014 04:13,TRUE,FALSE,Akun Official Kementerian Hukum dan Hak Asasi Manusia Provinsi Kalimantan Barat,,428,3697,700,TRUE,"2,75E+09",Kemenkumham Kalbar,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,kumham_kalbar,2065,https://t.co/2zGWy1ZvxH,FALSE,@kumham_kalbar,nonperson,kalimantan,sosial kemasyarakatan
FALSE,05/06/2018 6:22,TRUE,FALSE,Always Try to Win Stakeholder's Heart,,12,26,12,FALSE,1.00E+18,Kanwil DJPb Kalimantan Timur,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,DJPb_Kaltim,122,https://t.co/ZLgui2gNEA,FALSE,@DJPb_Kaltim,nonperson,kalimantan,sosial kemasyarakatan
FALSE,07/01/2020 23:57,TRUE,FALSE,Akun Resmi Dinas Lingkungan Hidup Provinsi Kalimantan Timur,,106,195,30,FALSE,"1,21E+18",Dinas Lingkungan Hidup Prov. Kaltim,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,dlhprovkaltim,190,https://t.co/TCRS8SHnPQ,FALSE,@dlhprovkaltim,nonperson,kalimantan,sosial kemasyarakatan
FALSE,09/12/2012 5:26,FALSE,FALSE,JNE Agen Kalimantan Blitar | Jl Kalimantan 95 A Blitar Jawa Timur tlp 0342-803071|sms 081999260007 |buka Senin - Sabtu Jam 07.00 - 21.00 Wib. #JNEBLITAR,,8,743,144,TRUE,"9,99E+08",JNE KalimantanBlitar,FALSE,0,ABB8C2,,0,0,0,FALSE,FALSE,JNE_Blitar,33832,,FALSE,@JNE_Blitar,nonperson,kalimantan,sosial kemasyarakatan
FALSE,27/06/2014 02:05,FALSE,FALSE,Official Account of BIG Mall Samarinda. A stylish & modern shopping mall strategically located on the bank of Mahakam river Samarinda. Your New GREAT Lifestyle,,12,821,13,FALSE,"2,59E+09",BIG Mall Samarinda,FALSE,0,1B95E0,,0,0,0,FALSE,FALSE,bigmall_smd,6204,https://t.co/056O6zjLsZ,FALSE,@bigmall_smd,nonperson,kalimantan,hospitality & tourism
FALSE,08/05/2011 23:54,FALSE,FALSE,Info Kalimantan Timur Indonesia | Info Kerjasama/paid promo: wa/sms 0822.1441.2218 or DM | informasi. kalimantan@gmail.com,,6853,77335,4769,TRUE,"2,95E+08",IG: @info_kaltim,FALSE,FFFFFF,1B95E0,,F7F7F7,FCFCFC,333333,TRUE,FALSE,infokaltim_id,108798,,FALSE,@infokaltim_id,nonperson,kalimantan,media
FALSE,20/11/2019 02:31,TRUE,FALSE,Akun resmi Badan Pengawas Pemilihan Umum Provinsi Kalimantan Selatan | Email: set.kalsel@bawaslu.go.id | youtube/ig.me/fb.me/bawaslukalsel,,0,134,75,FALSE,"1,2E+18",Bawaslu Kalsel,FALSE,F5F8FA,1DA1F2,"South Borneo, Indonesia",C0DEED,DDEEF6,333333,TRUE,FALSE,bawaslukalsel,572,https://t.co/1gkhyjVtj4,FALSE,@bawaslukalsel,nonperson,kalimantan,sosial kemasyarakatan
FALSE,05/12/2012 6:10,TRUE,FALSE,Silahkan sampaikan keluhan masukan dan pertanyaan anda dengan sopan. untuk info padam mohon sertakan juga lokasi anda. Salam,,38,90475,81,TRUE,"9,9E+08",Humas PLN Kaltimra,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,Kaltim123,6593,https://t.co/4lAEZ628fY,FALSE,@Kaltim123,nonperson,kalimantan,sosial kemasyarakatan
FALSE,11/12/2014 12:37,TRUE,FALSE,Informasi Blitar dan Sekitarnya | Wisata | Kuliner | Event | mention @jelajahblitar buat di retweet. IG : JELAJAHBLITAR,,0,1384,22,FALSE,"2,93E+09",Jelajah Blitar,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,jelajahblitar,5766,https://t.co/OAOCCAamVb,FALSE,@jelajahblitar,nonperson,kalimantan,hospitality & tourism
FALSE,09/01/2014 5:55,TRUE,FALSE,Twitter Kantor Wilayah Kementerian Hukum dan Hak Asasi Manusia Kalimantan Selatan. managed by Humas Kumham Kalsel. help & support humas.kumhamkalsel@gmail.com,,16,2316,91,FALSE,"2,28E+09",KEMENTERIAN HUKUM DAN HAM KALSEL,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,kumham_kalsel,2418,http://t.co/IY2mHMEHgA,FALSE,@kumham_kalsel,nonperson,kalimantan,sosial kemasyarakatan
FALSE,08/03/2012 7:59,FALSE,FALSE,Official account of Aston Makassar Hotel & Convention Center || The Hotel features 177 luxury rooms and suites.,,234,2225,80,TRUE,"5,18E+08",Aston Makassar Hotel,FALSE,C0DEED,0084B4,,FFFFFF,DDEEF6,333333,TRUE,FALSE,AstonMakassar,5746,https://t.co/HNCUz0kxxv,FALSE,@AstonMakassar,nonperson,sulawesi,hospitality & tourism
FALSE,30/09/2012 12:05,TRUE,FALSE,Menyajikan info terkini Makassar. Silakan mention untuk share Info seputar Makassar. #InfoMKSR [contact: kontakinfomksr@gmail.com],,0,341,12,FALSE,"8,55E+08",Info Makassar,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,infoMKSR,8348,,FALSE,@infoMKSR,nonperson,sulawesi,media
FALSE,23/04/2013 16:35,FALSE,FALSE,Media Siber Online | Indipenden & Terpercaya,,977,53091,38477,TRUE,"1,37E+09",MAKASSAR INFO,FALSE,131516,DD2E44,,FFFFFF,EFEFEF,333333,TRUE,FALSE,MakassarInfo_,7271,,FALSE,@MakassarInfo_,nonperson,sulawesi,media
FALSE,09/06/2017 14:54,TRUE,FALSE,Info dari kota Makassar ðŸ–’ Menuju Makassar 2 kali lebih baikðŸ‘ Mayor : Ir.Moh.Ramdhan Pomanto,,6420,671,209,FALSE,"8,73E+17",Makassar INFO,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,Makassar__INFO,6816,,FALSE,@Makassar__INFO,nonperson,sulawesi,media
FALSE,12/04/2010 3:52,FALSE,FALSE,For youngsters on the move. 105.1FM Prambors is an Indonesian Radio Station serving best hits program & info for creative & agile 15-29 years old.,,211,99510,365,TRUE,"1,32E+08",105.1FM Prambors Makassar,FALSE,0,FAB81E,,FF0000,FFFFFF,333333,TRUE,FALSE,PramborsMKS,122788,https://t.co/idrGP8xdZ2,FALSE,@PramborsMKS,nonperson,sulawesi,hiburan
FALSE,06/04/2013 8:22,FALSE,FALSE,#040 La Comunita' dei Tifosi Milan in Indonesia sezione Gorontalo| Div.Humas:085240225266 (Dicky) Div. Membership:08135275918 (Andry) IG:mi_sezgorontalo,,160,2385,377,TRUE,"1,33E+09",MIsezGorontalo,FALSE,C0DEED,0084B4,,FFFFFF,DDEEF6,333333,TRUE,FALSE,MIsezGorontalo,7357,https://t.co/5epWkhw8km,FALSE,@MIsezGorontalo,nonperson,sulawesi,olahraga
FALSE,22/12/2011 12:49,FALSE,FALSE,Official Twitter of Milanisti Indonesia Sezione Palu - La Comunita Dei Tifosi Milan In Palu | Follow @MilanistiOrId | HB GabCoffe jl Mangunsarkoro,,226,4379,381,TRUE,"4,44E+08",Milanisti Palu,FALSE,FFFFFF,FF0000,,0,DDEEF6,FF0000,FALSE,FALSE,MI_sezPALU,8567,https://t.co/aQTK6sC8qI,FALSE,@MI_sezPALU,nonperson,sulawesi,olahraga
FALSE,14/05/2020 02:35,TRUE,FALSE,FB : tribrata net Gtlo-kota IG : humas_polresgorontalokota,,2124,74,38,FALSE,"1,26E+18",Humas Polres Gorontalo Kota,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,Humaspolreskota,4180,,FALSE,@Humaspolreskota,nonperson,sulawesi,sosial kemasyarakatan
FALSE,16/02/2021 05:27,TRUE,FALSE,DIREKTORAT KEPOLISIAN PERAIRAN POLDA GORONTALO ARNAVAT DARPHA MAHE ( KARENA DILAUT KAMI BANGGA ),,2,2,10,TRUE,"1,36E+18",Polairud Gorontalo,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,HumasPolairud,1283,,FALSE,@HumasPolairud,nonperson,sulawesi,sosial kemasyarakatan
FALSE,11/12/2013 7:01,TRUE,FALSE,Official Akun Dikelola oleh Bag. Humas Kementerian Hukum dan HAM Sulawesi Tengah | FB : https://t.co/0o0s5ppDAD,,8,2059,463,TRUE,"2,24E+09",KEMENKUMHAM SULTENG,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,kanwilsulteng,1399,http://t.co/AcgeBYFFXe,FALSE,@kanwilsulteng,nonperson,sulawesi,sosial kemasyarakatan
FALSE,25/06/2013 10:24,FALSE,FALSE,ðŸ Indigenous guy from Maluku ðŸŽ“ International law ninja ðŸŽ§ Host of the Gomaluku Podcast ðŸª Building an Art. 3 Death Star,,309,418,486,TRUE,"1,55E+09",Ghazali Ohorella,FALSE,131516,9999,,EEEEEE,EFEFEF,333333,TRUE,FALSE,GOMaluku,2161,,FALSE,@gomaluku,person,maluku dan papua,media
FALSE,18/07/2020 13:07,TRUE,FALSE,From Papua With Heart,,222,482,58,FALSE,"1,28E+18",soundofpapua,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,soundofpapua,895,,FALSE,@soundofpapua,nonperson,maluku dan papua,sosial kemasyarakatan
FALSE,08/09/2017 2:51,TRUE,FALSE,Akun Resmi Pemerintah Provinsi Papua,,31,10918,33,TRUE,"9,06E+17",Pemprov Papua,FALSE,F5F8FA,1DA1F2,"Papua, Indonesia",C0DEED,DDEEF6,333333,TRUE,FALSE,PemprovPapua,3472,https://t.co/FRiHQMVJhg,TRUE,@pemprovpapua,nonperson,maluku dan papua,sains dan teknologi
FALSE,11/08/2020 3:22,TRUE,FALSE,Akun Twitter resmi https://t.co/QuPuxU5KwJ Portal indeks media berita nasional hingga daerah Papua Indonesia terbaru.,,0,61,9,FALSE,"1,29E+18",Berita Papua,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,berita_papuaID,392,https://t.co/QuPuxU5KwJ,FALSE,@berita_papuaID,nonperson,maluku dan papua,media
FALSE,31/07/2012 04:06,TRUE,FALSE,i LOVE Jayapura . Berbagi informasi tentang Jayapura non partisan pro pluralisme dan lingkungan hijau,,2268,10110,415,TRUE,"7,28E+08",Info Jayapura,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,Info_Jayapura,50122,https://t.co/7oj2FjW0mT,FALSE,@Info_Jayapura,nonperson,maluku dan papua,media
FALSE,22/10/2019 04:19,TRUE,FALSE,Official Account Pekan Olahraga Nasional XX 2021 Papua Email : digitalcampaign@papua.go.id,,809,4005,9,FALSE,"1,19E+18",PON XX 2021 Papua,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,ponxx2020papua,2291,https://t.co/fx5DfEQ4KY,TRUE,@ponxx2020papua,nonperson,maluku dan papua,kesehatan
FALSE,30/04/2019 03:12,TRUE,FALSE,Balai Bahasa Provinsi Sulawesi Selatan adalah Unit Pelaksana Teknis Badan Pengembangan Bahasa dan Perbukuan Kementerian Pendidikan dan Kebudayaan.,,307,179,94,TRUE,"1,12E+18",Balai Bahasa Sulawesi Selatan,FALSE,F5F8FA,1DA1F2,"South Sulawesi, Indonesia",C0DEED,DDEEF6,333333,TRUE,FALSE,BBSulsel,211,https://t.co/9Yy2XjSvZY,TRUE,@bbSulsel,nonperson,sulawesi,pendidikan dan penelitian
FALSE,26/06/2020 09:47,TRUE,FALSE,Akun Resmi LPMP Sulawesi Barat untuk Informasi Pendidikan di Sulawesi Barat,,195,200,169,FALSE,"1,28E+18",LPMP Sulawesi Barat,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,LPMP_Sulbar,258,https://t.co/jPlPjIoSI7,FALSE,@LPMP_Sulbar,nonperson,sulawesi,pendidikan dan penelitian
FALSE,21/08/2019 01:50,TRUE,FALSE,Balai Bahasa Provinsi Aceh Badan Pengembangan dan Pembinaan Bahasa Kementerian Pendidikan dan Kebudayaan Republik Indonesia,,491,741,80,TRUE,"1,16E+18",Balai Bahasa Provinsi Aceh,FALSE,F5F8FA,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,BBhsAceh,924,https://t.co/tOtIForZ8Q,TRUE,@BBhsAceh,nonperson,sumatera,pendidikan dan penelitian
FALSE,07/02/2019 2:16,TRUE,FALSE,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN BALAI PENGEMBANGAN PENDIDIKAN ANAK USIA DINI DAN PENDIDIKAN MASYARAKAT PROVINSI GORONTALO,,3,239,91,FALSE,"1,09E+18",BP PAUD DIKMAS GORONTALO,FALSE,F5F8FA,1DA1F2,"Gorontalo, Indonesia",C0DEED,DDEEF6,333333,TRUE,FALSE,paudgto,221,https://t.co/pbAcfAUUPN,TRUE,@paudgto,nonperson,sulawesi,pendidikan dan penelitian
FALSE,31/07/2018 12:35,FALSE,FALSE,Jalan Haluoleo Kompleks Bumi Praja Anduonohu Kendari Sulawesi Tenggara.,,567,380,110,TRUE,"1,02E+18",Kantor Bahasa Prov. Sultra (KBST),FALSE,0,1B95E0,,0,0,0,FALSE,FALSE,Bahasa_Sultra,901,https://t.co/LbdmvEX1D7,TRUE,@Bahasa_Sultra,nonperson,sulawesi,pendidikan dan penelitian
